industry_code,is_loan_eligible,employee_limit,has_special_condition,max_revenue
46325,1,5,0,5000000000
46326,1,5,0,5000000000
46329,1,5,0,5000000000
46331,1,5,0,5000000000
46332,1,5,0,5000000000
46333,0,5,0,5000000000
46411,1,5,0,5000000000
46412,1,5,0,5000000000
46413,1,5,0,5000000000
46414,1,5,0,5000000000
46415,1,5,0,5000000000
46416,1,5,0,5000000000
46417,1,5,0,5000000000
46419,1,5,0,5000000000
46420,1,5,0,5000000000
46431,1,5,0,5000000000
46432,1,5,0,5000000000
46433,1,5,0,5000000000
46439,1,5,0,5000000000
46441,1,5,0,5000000000
46442,1,5,0,5000000000
46443,1,5,0,5000000000
46444,1,5,0,5000000000
46451,1,5,0,5000000000
46452,1,5,0,5000000000
46453,1,5,0,5000000000
46461,1,5,0,5000000000
46462,1,5,0,5000000000
46463,0,5,0,5000000000
46464,1,5,0,5000000000
46465,1,5,0,5000000000
46491,1,5,0,5000000000
46492,1,5,0,5000000000
46493,1,5,0,5000000000
46499,1,5,0,5000000000
46510,1,5,0,5000000000
46521,1,5,0,5000000000
46522,1,5,0,5000000000
46531,1,5,0,5000000000
46532,1,5,0,5000000000
46533,1,5,0,5000000000
46539,1,5,0,5000000000
46591,1,5,0,5000000000
46592,1,5,0,5000000000
46593,1,5,0,5000000000
46594,1,5,0,5000000000
46595,1,5,0,5000000000
46596,1,5,0,5000000000
46599,1,5,0,5000000000
46611,1,5,0,5000000000
46612,1,5,0,5000000000
46613,1,5,0,5000000000
46621,1,5,0,5000000000
46622,1,5,0,5000000000
46691,1,5,0,5000000000
46692,1,5,0,5000000000
46699,1,5,0,5000000000
46711,1,5,0,5000000000
46712,1,5,0,5000000000
46713,1,5,0,5000000000
46721,1,5,0,5000000000
46722,1,5,0,5000000000
46731,1,5,0,5000000000
46732,1,5,0,5000000000
46733,1,5,0,5000000000
46739,1,5,0,5000000000
46741,1,5,0,5000000000
46742,1,5,0,5000000000
46750,1,5,0,5000000000
46791,1,5,0,5000000000
46799,1,5,0,5000000000
46800,1,5,0,5000000000
47111,1,5,0,5000000000
47112,1,5,0,5000000000
47119,1,5,0,5000000000
47121,1,5,0,5000000000
47122,1,5,0,5000000000
47129,1,5,0,5000000000
